,Equal Weight,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2022-04-22,16610.414498094968,17638.31339695792,13935.194151730891,21757.41969817266,13635.617040317931
2022-04-29,16276.794766786628,17100.940303376778,13517.273812855725,21061.966790380164,13189.394599891171
2022-05-06,15746.713806330668,16559.014990417243,13079.875808623416,20604.145569318625,12505.079129718444
2022-05-13,15880.195030253733,16540.659911004786,13207.716788828397,20233.56358072693,12413.282761546103
2022-05-20,16430.755478805775,17246.320298384744,13797.411591186377,21070.49407410416,12918.474016518314
2022-05-27,16621.627177750885,17428.38790608719,14100.345192775696,21527.339238283635,13303.497504079522
2022-06-03,16123.48878065627,16917.628700097408,13576.213602898717,21066.788798253634,12795.1218094543
2022-06-10,15155.401094432304,15944.98414509455,12700.716327592083,20025.72717437076,11686.260760881185
2022-06-17,15676.590087141238,16544.19384273204,13241.991433812227,20850.275443765506,12101.984720048631
2022-06-24,15698.502597392706,16604.474567247515,13287.142964431878,20962.00240850644,12076.056785669938
2022-07-01,16045.298925287992,16972.9948981499,13563.532080086969,21405.0082305944,12451.862917808314
2022-07-08,15685.282271475127,16678.687839554783,13109.500630135626,20771.682362352873,12097.18229649425
2022-07-15,16144.723726506818,17141.226220524997,13676.545219733209,21181.954591245056,12765.567323897953
2022-07-22,16481.966305827045,17510.10132804409,14139.925541239943,22008.874557146777,12998.60544215588
2022-07-29,16670.89384638687,17678.252725462386,14314.63981770778,21608.965853675334,13257.890969320799
2022-08-05,16602.491933285084,17633.900940734446,14398.542426351269,21654.98870371977,13444.192025215028
2022-08-12,16913.507409997692,17989.02214953125,14641.684114421854,22136.622743080105,13697.078786747083
2022-08-19,16778.666722311387,17913.66569197198,14665.289690917616,21708.6919408169,13428.82942265598
2022-08-26,16094.716751715761,17118.835269875053,13869.721020411578,20937.639858007464,12689.70036793164
2022-09-02,16053.405869708062,17254.512505325434,13947.428673514354,21000.498916137076,12816.464769070453
2022-09-09,15743.702617088224,16862.177430031796,13600.395086815304,20514.73632542097,12488.03155666338
2022-09-16,15262.20365541041,16363.200912283966,13193.257046631265,20054.244420065897,12028.271640740828
2022-09-23,14780.197688422733,15808.90905758054,12717.12538647358,19349.067395259197,11660.886238830537
2022-09-30,14926.31180039091,15977.4879848781,12790.338581744587,19557.269406893793,11995.486340196714
2022-10-07,14907.821910747916,16149.330447275832,13065.696628726946,19921.169932424535,11763.099537751314
2022-10-14,14707.292810871611,15906.008842952386,12737.343288052938,19674.859920768246,11745.096632800347
2022-10-21,15122.196917397408,16339.143667449885,13012.995129743445,20033.079081515236,12213.41022157727
2022-10-28,15054.291117880783,16211.06343495788,12861.88855457554,19970.002092077313,11925.095795983196
2022-11-04,15730.088351666982,16877.65019385472,13437.783807987104,21073.782801219884,12686.224278951187
2022-11-11,16006.975127889553,17104.090658003526,13703.631211778042,21065.102244921112,12671.759296760347
2022-11-18,16361.158229181876,17584.99258204212,14115.869342645175,21625.943405217222,12934.681680732867
2022-11-25,16754.791082617125,18029.70640054246,14619.535779309059,21975.17403569993,13094.107714856458
2022-12-02,16559.960184978518,17755.351416630067,14443.67991765194,21578.30974721127,12736.042724668448
2022-12-09,16201.822210994396,17334.528013371448,13990.590278458867,21123.681507425834,12523.582888284749
2022-12-16,16035.349002834055,17064.449550702746,13715.60160098651,20774.66136564077,12293.389123891648
2022-12-23,16157.858669183344,17145.362944134722,13747.713414195247,20852.516567520306,12381.216793972158
2022-12-30,15907.723485637764,16892.263204854546,13553.650095189088,20516.225796030052,12250.120936567453
2023-01-06,16192.186880587979,17271.60994756062,13869.399907181685,20857.699055015702,12817.775645199472
2023-01-13,16113.480317013351,17119.229634315896,13738.835161258878,20653.689614208834,12549.123330977516
2023-01-20,16516.648383242424,17602.013904233216,14165.375904372295,21157.642126583585,13069.314430334714
2023-01-27,16859.004714671883,18024.311208420237,14597.029064082679,21966.878750584998,13457.762478726656
2023-02-03,16531.085998809038,17673.562471237372,14248.971126521135,21660.860328047213,13144.870156276687
2023-02-10,16554.272050305968,17678.24058250677,14234.628584751898,21590.55202656965,13183.295728089717
2023-02-17,16266.69839518192,17392.001641516235,14085.464480776389,21328.946015526195,12937.24881315218
2023-02-24,16250.331982531541,17366.79847790873,13993.998786836944,21320.475348426477,12845.222629432066
2023-03-03,16143.880814648928,17264.504882424357,13947.684319974609,21291.753971145106,12643.408508781584
2023-03-10,16444.018940612732,17557.398823312364,14390.220436208017,21519.116278354257,12790.326599840893
2023-03-17,16528.019449941206,17545.329065313555,14273.616899123572,21184.081127991227,12743.848208788819
2023-03-24,17022.484759714844,18077.489231713527,14751.337539728322,21882.580598542947,13085.158305812205
2023-03-31,17202.652514773243,18309.27193052494,14985.708232101168,22184.31807611384,13263.105618073
2023-04-07,17295.35751282698,18408.31759891627,15173.300332654328,22467.081723032104,13401.83485557799
2023-04-14,17410.455316771193,18562.623256998544,15232.826561491329,22769.07073114738,13350.298461348897
2023-04-21,17839.413838529505,18985.95847356022,15903.458839955356,23791.298807335617,13367.47794646726
2023-04-28,17624.340579210555,18732.793051609493,15791.161115820045,23611.605420743916,13131.508907052963
2023-05-05,17821.75276369435,18988.648517489946,15909.303209178259,23612.8946512997,13358.400747611679
2023-05-12,17906.8945016181,19139.865920205993,15988.219242828165,23553.08265500165,13588.533708788103
2023-05-19,17739.2843562829,19013.493077933344,15830.882321008701,23326.792566166,13440.082139992972
2023-05-26,17981.722656858346,19205.270646166282,16111.403069561162,23604.49716098163,13672.482339757304
2023-06-02,17995.93381787792,19247.364506893722,16027.50504922798,23539.539552105056,13909.423200075415
2023-06-09,18435.936262957148,19715.943093485563,16437.78466325601,24024.169728572433,14346.028426637477
2023-06-16,18421.40726877553,19766.77073117725,16444.809472011886,24132.086442970765,14201.187950575086
2023-06-23,18426.81272370059,19782.26867646384,16447.273901150547,24172.846840367467,14253.242717990413
2023-06-30,18527.5015404245,19995.28841313454,16563.658958631797,24365.31757268528,14303.669195874427
2023-07-07,19048.41402723971,20392.332376714534,16846.934904657013,24701.246154882454,14625.75104854638
2023-07-14,19177.724076413226,20589.917038002925,16938.837923579125,24767.556990865007,14710.987883258707
2023-07-21,19310.37161002609,20593.66009796971,16758.838304486533,24635.25571357931,14721.07297272291
2023-07-28,18885.40714833602,20170.945900158607,16554.89341126793,24393.445469618095,14602.325321118333
2023-08-04,18863.27986602474,20211.72809242476,16313.599350907129,24168.487123140458,14507.002366378805
2023-08-11,18344.811281640537,19689.12070348432,15828.85877493543,23511.68131015675,14194.030690578258
2023-08-18,18353.843622197728,19703.24200981666,15874.734393204719,23516.12352480232,14213.55161482013
2023-08-25,18653.794685024375,20068.360828702207,16087.60385305672,23814.387566826903,14651.451228503287
2023-09-01,18620.711111505345,20095.6970169426,15970.62129125048,23627.017347564706,14472.517667456752
2023-09-08,18749.583439332968,20278.116742946248,16308.227166989565,23999.013688676154,14651.775855846556
2023-09-15,17951.272580802168,19481.746010841103,15778.301842285155,23452.591361649498,14084.123208340527
2023-09-22,17736.316187202243,19198.53892762953,15510.90634153442,23121.664213068125,13990.421329191351
2023-09-29,17439.368922411802,18823.320056859255,15316.266663078188,22690.515056600118,13859.176040152439
2023-10-06,17444.736765360685,18798.59110572234,15435.02418568444,22646.85785815061,14158.233054401211
2023-10-13,17489.208231382883,18964.638971727833,15541.009145724809,22721.864752936326,13922.185692199333
2023-10-20,17121.226441231018,18538.32533058738,15218.783604830021,22175.811893007212,13469.027562819569
2023-10-27,17740.225128833277,19240.841560614303,16011.059198113853,23110.257286249984,14063.555232096242
2023-11-03,18350.99510755013,19856.570013636938,16408.419842004696,23642.148608951782,14164.109324595865
2023-11-10,18567.201479622618,20102.25021989569,16810.199766719583,24211.05019214459,14699.214731609509
2023-11-17,18921.103375472707,20528.045170664263,17107.676967511852,24691.380674846227,14855.598543773327
2023-11-24,18738.279006512912,20425.397126339918,16993.84484854759,24526.74054699015,14900.654757892988
2023-12-01,18806.505855966705,20559.041514691595,16891.64618515181,24571.2881414746,14960.400616936293
2023-12-08,19141.583899163168,21000.06045895376,17279.28936901314,25201.14530880084,15410.292892186479
2023-12-15,19372.326260285947,21276.51344699496,17476.126146101637,25438.29329721556,15495.39266202054
2023-12-22,19633.73317308266,21651.129698460743,17716.777766331645,25925.09680852981,15626.186564467858
2023-12-29,19461.269004715406,21465.9657770443,17504.189762565915,25816.55680631421,15317.721540642271
2024-01-05,19726.983983173348,21697.715809611298,17672.360626609392,26177.997314126584,15615.042056245306
2024-01-12,19494.796113884884,21560.882769004045,17536.610609126416,25974.62503040116,15619.63012269683
2024-01-19,19548.63294283113,21538.404081104014,17681.76484261606,25824.447701858877,15997.91785052597
2024-01-26,19773.62650888707,21800.296774617145,17916.661941579474,26246.86581911202,16036.271282929383
2024-02-02,20062.68047270783,22072.51218923529,18272.698191482457,26887.05329605651,16335.231424256674
2024-02-09,19893.49330139701,21640.294806829526,18114.61444491327,26814.966163976867,16456.19066404745
2024-02-16,19863.26024021047,21720.11268539556,18124.459240515975,27017.96807132564,16636.156849214476
2024-02-23,19950.44187841685,21950.82889172729,17953.685502294422,27567.111910191932,16655.16764477407
2024-03-01,20135.99208026327,22207.538253617116,18052.970005059695,28200.164855548643,16875.78335669626
2024-03-08,20316.099437879748,22497.114817973783,18182.859745714602,28608.635298419795,16880.37142314779
2024-03-15,20418.018892200806,22631.323373423427,18422.14823481359,28761.474222405173,17171.217942019353
2024-03-22,20415.239539295922,22700.068586958685,18419.097984840282,28394.029143357744,17199.825340183757
2024-03-29,20017.467651272094,22279.472974983404,18237.724286347933,27759.75525846031,16871.001544401766
2024-04-05,20063.882350435557,22335.292972055995,18414.424208688823,27925.15887079846,17033.11322568903
2024-04-12,19600.89371314099,21799.965182959077,18049.86878320614,27149.153142327927,16425.44175598047
2024-04-19,19954.476089244636,22152.952166090527,18366.395507963756,27556.099355423983,16555.987292746115
2024-04-26,20291.13356422307,22466.876132355344,18395.312581464987,27841.047696292328,16606.625036044006
2024-05-03,20962.708842800712,23271.506641381267,18932.689969562638,28810.758822547596,17104.46528517643
2024-05-10,21338.880898850024,23620.274704221887,19173.566241959816,29455.63206872307,17384.624865795005
2024-05-17,20867.70325957767,23167.46723454736,18927.976238775133,28697.56049168231,17294.858706721836
2024-05-24,20563.27590788228,22696.98756115157,18829.396575976454,27977.18585642574,17184.69873655045
2024-05-31,21103.06014595304,23193.307629081453,19433.440989878065,28634.24431486907,17580.93474949185
2024-06-07,20570.214643738513,22729.77554549771,19260.250667718014,28000.479357408378,17837.09148740546
2024-06-14,20580.43998216563,22734.656646606756,19239.132607225172,28000.73818197086,17986.702439569406
2024-06-21,20610.631543385625,22832.50968611582,19333.05611016545,28081.003691468057,18023.94492506475
2024-06-28,20547.214546244548,22682.588527602322,19228.84245537249,28049.287018924344,18191.860737137053
2024-07-05,20843.291422383016,22849.55978930467,19315.058661923995,28244.019230889222,18357.459843597713
2024-07-12,20537.33426072118,22617.010045069586,19207.47718362816,27890.28066386277,18231.4446617559
2024-07-19,20188.969796960322,22365.72547815834,19135.17358625821,27562.20421710792,17761.35541293945
2024-07-26,20510.170384822955,22771.060768832438,19693.674260607113,28294.907268388037,17913.105813879985
2024-08-02,20114.372711945533,22305.24460762054,19656.553086462227,28228.290315233902,17505.36768735694
2024-08-09,20434.016006439655,22616.4486521997,19994.767828952263,28639.44807360734,18244.971831621744
2024-08-16,20675.628238366913,22798.604554956903,20151.695987938612,28745.29859750222,18348.88555948345
2024-08-23,20761.3052773257,22911.429703312868,20421.372015619785,29020.555645072847,18419.14728332266
2024-08-30,20653.298861724703,22842.215677666783,20408.294572448303,28783.898712017017,18130.830796602597
2024-09-06,20711.71349268956,22963.193984135614,20511.260255031146,29130.7595562604,18443.561320662433
2024-09-13,20907.99565634183,23136.33205721819,20489.713697142728,29275.694127212333,18835.791535244196
2024-09-20,21315.808360417144,23480.524492721124,20739.59124012561,29512.99073857662,18937.246339801015
2024-09-27,21031.558062828375,23211.458682735574,20413.25875597689,29100.222314616967,18789.003975293774
2024-10-04,20961.354856569764,23196.039897266382,20432.506436231244,29239.150030218952,19063.978793487004
2024-10-11,21115.53934835887,23456.140291536645,20542.243636778843,29365.510363921436,19269.80077362311
2024-10-18,21045.31733586645,23380.327053537138,20667.77146724226,29385.84978865566,19166.892875244044
2024-10-25,20707.73691478785,23094.612372415944,20506.02524421905,28936.16243924934,18816.140760065024
2024-11-01,21178.70272774977,23608.06658622715,20926.2402008208,29005.041383811982,19708.567090784647
2024-11-08,21249.456219218402,23754.16746896288,21149.724614117033,29079.285603055247,19633.78737877754
2024-11-15,21339.51085080753,23941.969071080457,21210.366786562576,29246.26375115711,19644.375382983057
2024-11-22,21690.462246250823,24338.33579627046,21489.202923192493,29698.776080093772,19815.11905991228
2024-11-29,22026.614290555448,24609.43784689261,21871.948516935623,30116.815057461146,20074.21084123423
2024-12-06,22289.80871518994,24930.136501624846,21866.27059296262,30252.066994900444,19997.108240237514
2024-12-13,21280.226096575763,23709.046306226024,20815.61698325573,28924.824239653586,19393.886741539216
