,Equal Weight,Max Sharpe,Inverse Volatility,Minimum Variance,Risk Parity,Maximum Diversification,Hierarchical Risk Parity,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2020-06-19,20366.074652684434,20668.439601505117,18453.78791097577,15512.791322320303,18783.588040098788,19722.79646108871,17943.66427668986,19653.08864911665,23030.43818527909,20691.48742099597,16391.61781411181
2020-06-26,20044.406826125298,20466.192696378697,18016.27216061228,15000.151430530568,18381.51334720918,19458.230676906118,17463.634266337773,19188.254825438446,22831.210926030133,20469.094826194505,15935.403486655274
2020-07-03,20703.327105618686,21106.334052961145,18657.068262460558,15467.355835041633,18992.789677031287,19958.22174417079,18080.381573527106,19825.749196531942,23540.221671992756,21091.738438595465,16582.271474628124
2020-07-10,21617.934744723807,21860.74802920982,19305.965769549653,15811.021321873211,19688.89320817851,20826.40070740365,18618.786204310883,20727.255907217434,24953.720182026216,22285.24715756412,16866.943442323885
2020-07-17,21722.43009832055,21759.355546093913,19363.838560887267,15954.312595706104,19779.7656101177,21041.95732908932,18719.12263828917,21092.283140453932,25628.432372960357,22956.71957118687,17086.28253345209
2020-07-24,21737.358315458965,21968.80133254046,19473.082233369278,16239.750931874314,19896.95058227357,21189.029613105235,18889.977022391184,21003.34248892691,25580.764822923422,22943.128679188834,17041.67131220231
2020-07-31,22135.853361505153,22485.37669680304,19730.674871109088,16292.969036105178,20173.46693463031,21518.011884638843,19086.53102831691,21391.49369809247,26233.272938171176,23421.19214848665,17341.20254062917
2020-08-07,23384.131317969594,23368.14829866555,20366.77287721295,16417.2643965808,20957.408525948464,23028.72421922123,19525.994081942456,22570.489915398048,28650.088802333692,25511.773993090315,17768.734957374498
2020-08-14,23402.392551407054,23153.830133134303,20428.17957793742,16581.683790322208,21020.499033681328,23121.096898974454,19642.343524716405,22722.906926017502,28799.268446672275,25682.855193687676,17889.289795799177
2020-08-21,23724.58510557611,23521.845407510413,20714.11916715077,16721.17074245473,21290.645561795835,23380.908428851097,19846.84192696899,22913.514369418714,29154.06071385651,25937.19535991433,18029.49975963484
2020-08-28,24127.86761417442,24248.60454073882,21171.760415731223,17010.843067242666,21689.87396455198,23570.073926579502,20292.442532214158,23326.83701663592,29272.094848454,26167.28648801199,18619.010965986643
2020-09-04,23671.262388102736,23878.805682844108,20818.796858241938,16849.842523912866,21339.663147457748,23231.098189717388,20047.113652464766,22746.844736231404,27991.53459421902,25110.70348874629,18193.604569253534
2020-09-11,23899.86030097379,23576.00749768195,20826.712826402818,16769.39494218885,21415.817811941095,23485.017952877053,20015.745641354013,22933.14168224511,28408.235993776147,25592.489311101715,17741.649321622805
2020-09-18,23924.571489382237,23525.028712077685,20720.022075493092,16731.079841529605,21376.875826300926,23759.986356300436,19883.574150760087,22808.5802757097,28593.361226659716,25601.775245563964,17630.84284813826
2020-09-25,23549.995402003886,23465.75900997789,20483.275540784824,16490.91396951535,21086.122102989182,23225.82326348369,19605.389404682104,22440.130366337384,27989.92145240422,24883.31151834855,17528.459496986896
2020-10-02,24362.66086270964,23693.21420209022,21020.929795777734,16902.28505047161,21695.296283516604,24114.560920421387,20135.060649277064,23292.928239807447,29410.18253116793,26265.476672545377,17800.9367687682
2020-10-09,24712.740118935802,24456.546534584963,21396.309641315227,17142.938533871802,22047.76167158381,24310.02161946005,20492.44002424623,23546.209670634486,29372.053079412053,26262.5721590062,18494.65287487455
2020-10-16,24747.059724757182,24818.6948320271,21452.71123525571,17200.76020506409,22099.406688626685,24319.588521001875,20529.292804410587,23518.68765831221,29450.25359498373,26309.54332246194,18518.114772873636
2020-10-23,25463.469836627777,24621.87018622628,21765.176330637278,17190.84247585108,22455.973713378746,24743.50168550747,20774.30437380126,24414.497749732844,29792.98122830195,26669.942850222298,18437.598804712194
2020-10-30,24143.78291185839,23470.472251018426,20618.482903819047,16180.175388564288,21269.962592634907,23396.02726146241,19559.939115763264,22954.51884574039,28264.14842263881,25320.41663762729,17411.688551795887
2020-11-06,26091.140482943312,25150.55187920906,22123.29683867181,17129.11904017762,22825.740950085587,25182.868502376074,20956.876610197975,25028.699273942584,31048.981457472804,27688.14281521607,18671.151254796267
2020-11-13,27327.382565882865,25051.152936305018,22970.916570333517,17829.309777280083,23795.795956274953,26638.061342090856,21900.83775521249,26731.576757212995,34429.38880747591,30972.540467350555,19094.523148934903
2020-11-20,27732.934185556616,25181.6761587072,23135.86974750143,17927.09674758055,24039.557846334195,27181.304056745255,22037.93766159743,27190.622820390385,35118.49510566842,31480.65766519863,18946.82459639726
2020-11-27,28017.326416349544,25792.14670495085,23430.07096883905,18230.207071422337,24345.728653773935,27517.78609757376,22327.777381846845,27331.62451677386,34963.31721208176,31324.32898553389,19391.52708867174
2020-12-04,28770.13833149941,25876.699027729435,23894.624749726034,18379.650875923846,24855.507150934256,28162.48021212146,22751.419315041516,28239.247598263966,36366.15129835258,32526.63572877219,19721.053150764375
2020-12-11,29406.17105460257,26347.03879335487,24202.696425268816,18462.208626437296,25258.60499592512,28831.931911706706,22931.97332390527,28718.025574903062,36902.138970620384,32868.59067030754,19531.76169181218
2020-12-18,30443.237651787134,27293.3151414046,24946.22595266982,18984.52363840198,26087.609945764016,30090.041657101807,23623.103518860768,29713.464082696377,38651.484202956184,34287.24377464518,19769.237071206877
2020-12-25,30795.265647016884,27497.23492745389,24996.929843288133,18843.435834279146,26225.265533684815,30564.333475495725,23631.370701269538,30291.041948302583,40493.01638965176,36047.200337354014,19759.599583138242
2021-01-01,31062.11192103697,27972.301157277194,25188.000895179684,18990.410128222,26418.46705128203,30867.179550675857,23779.42075222944,30557.701160152614,41330.30862978291,36656.91344597421,20020.91876975607
2021-01-08,31680.893863789395,28730.1289706697,25551.946076739292,19374.79880997084,26872.357545895396,31940.48520255673,24148.42264865551,31178.393140678047,42303.431943564436,37548.680726206054,20416.11209898109
2021-01-15,31199.555753588225,29046.42056717435,25055.113485294532,19160.778051768844,26453.99267826463,31983.45469977084,23724.67345322423,30483.541607214283,41654.26947790148,37040.59840407854,20118.379539802983
2021-01-22,31665.296416377347,29893.524404246757,25414.976792330202,19346.91627800007,26837.27133854483,32282.43636042874,24011.519030682233,30821.31810820599,42232.41044422969,37684.99297671947,20502.861811251212
2021-01-29,30656.253366763467,28769.996180638675,24744.0603581027,18910.406739407357,26072.322586703125,31055.227710545285,23395.198375487867,29864.620949073385,40671.222659762665,36079.87867101782,19816.903566249053
2021-02-05,32341.76362437072,30570.86709466209,25939.749242958078,19564.692264352387,27336.556864043938,32701.067145253943,24451.127899534462,31675.571463179316,43191.67914104444,38299.87377923449,20761.502353449676
2021-02-12,32644.933143102462,31121.09152749208,26187.405904322128,19894.524703615614,27653.78709713111,33487.34823680361,24703.445580094227,31982.087917571404,43280.54793115657,38440.62089130585,21025.496664586197
2021-02-19,32110.435700600625,30269.907691173474,25781.479213615105,19631.190000589,27197.293725680785,32789.05416644831,24295.98413440701,31425.270356499066,42537.04274790542,37770.21576738743,20885.737248037898
