,Equal Weight,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2021-02-12,13734.338481185376,13171.276636362705,12461.695243800033,12897.92427389862,12251.567847011698
2021-02-19,13214.176447725646,12704.855825169947,12107.053806822261,12429.881859041001,11988.485725775032
2021-02-26,12983.752405783092,12541.801661262487,11931.852219911398,12193.709316511318,11811.948223690719
2021-03-05,13367.758664091109,12946.750437300447,12242.076355950778,12434.255062422317,12339.67686078971
2021-03-12,13478.70309246466,13156.50329272544,12327.513302479585,12435.08919261572,12275.396524570595
2021-03-19,13486.795318549644,13159.14822645046,12267.430673197947,12475.500419022026,12259.607268931819
2021-03-26,13698.079627964085,13348.442161433964,12460.105427077257,12601.902473336348,12602.822876932036
2021-04-02,14067.994977739438,13710.61579209918,12911.181810925304,13022.561680875662,12851.661587021681
2021-04-09,14245.770153931173,13928.523792521077,13192.38554022427,13350.148761280074,13082.887975535274
2021-04-16,14159.60607135071,13852.326636018246,13126.185034763708,13351.474632100153,12969.633224691399
2021-04-23,14277.34331319158,14007.677155035648,13310.405490758927,13526.823918212067,13214.699043658171
2021-04-30,14271.002928000045,14053.703501472943,13198.154865902361,13400.363217614022,13183.554399401304
2021-05-07,13917.923437039944,13762.340631373627,12770.208769491132,12952.598768812572,12907.03064502734
2021-05-14,14200.498415145823,13983.354423715098,13053.422177002303,13241.071986517898,13064.328566567283
2021-05-21,14333.898043685285,14052.779270577048,13197.547165529082,13395.152572089817,13190.476691035383
2021-05-28,14314.067618960311,14080.59915605972,13249.225167121745,13459.7951511286,13174.120625749629
2021-06-04,14405.273353823502,14167.834977696084,13298.9452776413,13578.850843905238,13326.382185935434
2021-06-11,14293.550489319001,14096.943078146753,13326.865890300909,13638.894130514505,13274.787049615656
2021-06-18,14249.049018408108,14058.267824389455,13398.267071075605,13618.323023154817,13417.006803983028
2021-06-25,14385.652852766401,14241.696367152792,13682.294717355315,13903.271389810847,13585.231784953681
2021-07-02,14253.22830634383,14175.825061246673,13656.57933033384,13920.755892753206,13600.698474375178
2021-07-09,14388.243447457793,14309.010110151656,13687.097916872071,14019.625786382061,13721.581452504366
2021-07-16,14394.996829280995,14354.861504648376,13702.550713829178,14216.834808981723,13743.98898369384
2021-07-23,14692.842461162663,14746.629124937492,14401.681385362579,14760.588077907061,13907.795941107059
2021-07-30,14515.882678595055,14652.212019901783,14259.105526372852,14573.167653710521,13942.833021794164
2021-08-06,14481.447748328947,14628.769735453077,14335.663722473537,14651.293519191422,14048.560540526192
