,Equal Weight,Max Sharpe,Inverse Volatility,Minimum Variance,Risk Parity,Maximum Diversification,Hierarchical Risk Parity,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2022-02-18,26625.781937287386,24247.92375554579,24515.34691502793,20215.52608477173,24366.920948797804,23402.746783251976,23459.47975279548,26996.947781101735,28934.51597452494,26178.045264409127,23562.561878754128
2022-02-25,26586.208269416587,24418.644784926237,24482.175083597584,20040.123745107565,24291.478646938966,23117.812683367665,23417.950333956163,27072.97338797338,28863.61956859874,26126.57959109741,23753.562249487662
2022-03-04,25587.989403549505,23972.294255713357,23631.24826134546,19700.668459404144,23497.255195178193,22659.6694624433,22722.562514692072,26182.5476948032,27802.983919356913,25566.582648370488,23450.780392780533
2022-03-11,24357.22203659356,23062.354366952688,22466.31833608719,18700.55781971833,22342.851494687533,21494.579993156145,21578.357241471032,24874.044540169758,26221.208762017053,24134.567965030743,22794.19923887437
2022-03-18,25885.000945341366,24473.66817496901,23826.398778068626,19703.303534316372,23668.307019418982,22630.462133037177,22803.66962260418,26444.12825462851,28191.01535449332,25760.9546903436,24195.857129695327
2022-03-25,26059.875300275293,24558.24703747971,24023.87407265663,19791.898083811564,23840.057478454237,22690.539539341935,22963.544485845367,26763.712466275225,28659.938000753482,25943.62079454703,24640.56138192015
2022-04-01,26452.941945510094,24802.58843597268,24392.223324330356,20099.554922373565,24180.50733579056,22961.316393447778,23292.13781512784,27136.092427174193,28991.493281692838,26455.193603415966,24653.085188548426
2022-04-08,26214.94695172471,24148.576594758004,24229.846023732123,19943.10115419285,23965.461577682894,22574.67324185117,23054.61775012804,26924.31370823011,28592.14714428504,26043.74944882975,24361.873245384613
2022-04-15,26023.20202484511,23374.68181240619,24082.534153128203,19751.768763485892,23768.023057727463,22305.801895730627,22847.630225050147,26873.52307575375,28431.74715846416,25843.99595801831,23829.53402586803
2022-04-22,25565.647039400243,22723.11297836831,23713.602266246042,19405.437657436694,23378.755342674296,21868.670748548924,22516.420085131995,26443.717038571132,27937.88075636785,25409.499574934227,23189.966311910644
2022-04-29,25356.75726051468,22826.319000440126,23482.194932291084,19194.445347857774,23189.571577582534,21670.36242212669,22266.58337436713,25963.701675550252,27342.271567105247,25138.079564865053,22425.74835508451
2022-05-06,24925.138265684556,22417.92404620853,23127.8717594593,18844.358888017483,22837.62276580174,21220.087689821084,21962.365510984153,25415.36108191253,26688.14822474642,24796.423876113455,22389.82600866944
2022-05-13,24920.12511391746,22243.318700093954,23135.780600832768,19023.206503643596,22868.35677678068,21504.60673589165,21987.054865600447,25466.787946429227,26784.615663284458,24955.48643987818,21866.193263490975
2022-05-20,24339.496844755602,21635.913099380774,22519.64644889804,18484.969128418717,22351.635337451964,21236.142418898424,21487.812797322113,24617.77687274425,26106.530449320922,24055.401424747426,21208.114391844414
2022-05-27,25245.89116182579,22689.139360576606,23471.48958758551,19206.65969025864,23231.150449506622,21820.115090341005,22342.061290998685,25664.24152013509,27030.637552174234,25344.006981351347,22603.1971081905
2022-06-03,24880.203704473162,22217.70113200954,23174.525668286293,18993.41222375031,22898.193041041774,21436.265022674965,22066.467362561376,25372.965790637372,26725.36614655164,25047.422805611888,22346.279557376114
2022-06-10,24226.920169948287,21793.25112737347,22559.14366744838,18746.931178859388,22357.889568908868,21279.65735900185,21590.895625988738,24611.035639473124,25701.81176863423,24340.16013489186,21217.37173063935
2022-06-17,23327.12586062243,20969.82997755992,21766.346376434907,18101.836771962597,21530.82492793658,20407.834942315036,20849.87174048446,23861.433130002133,24953.433760122334,23697.101854917277,20000.30623135947
2022-06-24,24650.08257512074,22365.1869957275,22983.99161166085,19021.915584236573,22722.222872363916,21480.425685664093,21996.254724254286,25178.51638131401,26299.415841919,25086.38141566722,21324.327432777256
2022-07-01,24237.39578434802,21894.61064449063,22637.23174756359,18855.622179948692,22362.719378062273,21193.930972236198,21642.31369127997,24897.842679832283,25672.813332319034,24840.309220972624,20841.07850812891
