,Equal Weight,Max Sharpe,Inverse Volatility,Minimum Variance,Risk Parity,Maximum Diversification,Hierarchical Risk Parity,SPY
2021-09-10,18381.22553183519,17187.658648165103,15713.65154877596,12605.733834455863,16192.030620531583,18666.83885802333,13904.472571578503,14113.582882101355
2021-09-17,18146.82851970832,16888.735231197537,15511.341091040511,12419.81715863693,15962.057156334698,18342.87235665249,13679.02380186132,14032.45799373709
2021-09-24,17757.4721112624,16368.300004891424,15144.959005033304,12345.50443633547,15675.031988137762,18299.41048311266,13383.024304647448,13587.910218176397
2021-10-01,18011.843235131746,16700.574245286014,15396.20582691961,12557.861939147093,15883.245491281308,18467.00272157227,13615.125944336774,13889.340619001508
2021-10-08,18080.600143981632,16566.737429375433,15502.636915566274,12651.35538662706,15969.446004451078,18509.754600910084,13703.111002640362,14010.929532781929
2021-10-15,18209.4761030367,17030.779367299594,15576.974885758513,12616.478561590346,16051.579816097714,18570.581706442597,13722.582401385656,14362.073261898859
2021-10-22,17937.359756159083,16800.812234856126,15466.571267668518,12503.992207191792,15786.807604064677,17932.078963908578,13670.861667011552,14511.838798511977
2021-10-29,18077.584528850402,16808.137119390914,15626.104457378338,12603.240204812955,15860.296893580484,17875.455734783398,13818.580089901367,14783.826014584145
2021-11-05,18075.363990776626,16661.83562945213,15635.448010099497,12601.269583695948,15889.704789005891,17913.6494296073,13831.535303642111,14684.40244968949
2021-11-12,17893.788497114056,15857.963464467513,15589.828519683959,12696.461218702754,15825.82483357636,17785.223278399175,13806.577813243894,14873.116053553857
2021-11-19,17578.27173621552,15318.435160640878,15368.355297682938,12540.97858424313,15553.834324620566,17405.752260139903,13619.263571961505,14863.932706709842
2021-11-26,17043.248345284574,14771.93450158296,14929.47854287572,12283.188768270124,15130.584560163787,17006.639961527602,13246.35546417833,14482.709935472361
2021-12-03,17510.502973264895,14876.995223362448,15367.225504081498,12566.261034205505,15516.736896274759,17231.01181732795,13594.25479702006,14766.09517826373
2021-12-10,17715.295095562953,14638.888582080463,15584.486567422975,12882.417595367639,15747.438344974627,17536.472336763454,13836.490708820838,14769.260037219847
2021-12-17,18043.471807318198,15293.315061509471,15828.091849213477,12981.970930224034,15976.466414456623,17800.98073218453,14026.705477719039,14953.010449702686
2021-12-24,18227.62314492212,15207.197208282312,15996.975466948234,13130.559682830542,16147.400210753447,17981.642976317686,14181.908817838104,15129.6788332873
2021-12-31,17807.670006414482,14130.156994066463,15702.385885498465,13050.054209747106,15858.694709404972,17660.573034553767,13953.981221162621,14868.490886834528
2022-01-07,17602.50660509872,13379.635276719382,15588.281635005911,12830.961403684663,15687.46036543646,17252.71184691243,13839.111630340374,14760.140585281491
2022-01-14,17464.250649400226,13019.540979562345,15479.073372818544,12709.542433463013,15573.161712345682,17081.869374524795,13734.421864297672,14195.193165636034
2022-01-21,16913.758208376345,12609.576113352998,15052.834989938217,12376.667436277276,15106.688335946881,16511.427188470352,13392.788614786119,13702.372788849834
2022-01-28,17268.291907373918,12976.16791998811,15374.955185996954,12631.810510554204,15395.865198801224,16753.998426734845,13693.077616407363,14190.42887291245
2022-02-04,17488.22382989623,13507.681681433522,15434.577225970133,12627.079033523632,15534.369291065235,17112.778300817845,13710.444501669272,14276.85394675744
2022-02-11,17267.011387646635,13263.387112724125,15247.466570264214,12627.78026147759,15413.259961701691,17173.691934179322,13574.672632615126,13887.299073709404
2022-02-18,16884.22273424061,13196.811173389702,14885.613615920542,12261.73006940496,15027.246478445928,16698.608828762477,13252.756146665137,13608.957406213136
2022-02-25,16873.719945346224,13153.424849870738,14911.78972790292,12349.895967715,15074.588965106126,16884.37085460871,13325.651582554117,13844.404980752211
2022-03-04,16062.865599160865,12419.823157092826,14210.645932272642,11738.094814528838,14349.20431952705,16084.691171282062,12694.363523645747,13519.3540760931
2022-03-11,16442.727893793264,12904.855588377917,14586.836718197457,12023.711501299604,14645.66013466301,16179.849072936824,13033.175478512532,14014.715821223745
2022-03-18,16743.15645278345,13238.802215639576,14818.838848577734,12256.428909086628,14940.511888403656,16579.130434378356,13240.626089480127,14358.49617774495
2022-03-25,16896.63739251816,13288.391159320194,14985.278746647395,12434.78964137907,15089.634911506053,16740.84521245038,13375.365204609136,14395.153303459414
2022-04-01,17016.179093622985,13272.771284668588,15116.493785860279,12640.555729748561,15231.597407497537,16933.290832317343,13495.77336502947,14303.677440378366
2022-04-08,16843.527959117477,12830.470651906771,14981.270799298496,12487.274122628629,15056.290419279012,16658.099673571945,13338.784277459841,13953.712675327148
2022-04-15,16758.013043347863,12764.583327528326,14945.53378211593,12477.111866803354,14997.622511689147,16547.212853739245,13328.212283261655,13962.314784642262
2022-04-22,16610.41449809497,12910.865364161093,14817.992496531539,12305.82811933912,14842.682564264367,16257.442137050955,13234.456530293424,13635.617040317931
